Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Brazil,BRA,2006,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,788053
Brazil,BRA,2005,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,789622
Brazil,BRA,2004,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,791191
Brazil,BRA,2003,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,792760
Brazil,BRA,2002,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,794329
Brazil,BRA,2001,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,795898
Brazil,BRA,2000,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,797466
Brazil,BRA,1999,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,799035
Brazil,BRA,1998,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,800604
Brazil,BRA,1997,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,802173
Brazil,BRA,1996,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,803742
Brazil,BRA,1995,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,791248
Brazil,BRA,1994,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,778754
Brazil,BRA,1993,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,766260
Brazil,BRA,1992,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,753766
Brazil,BRA,1991,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,741272
Brazil,BRA,1990,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,728779
Brazil,BRA,1989,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,716285
Brazil,BRA,1988,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,703790
Brazil,BRA,1987,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,691297
Brazil,BRA,1986,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,678803
Brazil,BRA,1985,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,666309
Brazil,BRA,1984,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,641000
Brazil,BRA,1983,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,617000
Brazil,BRA,1982,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,593000
Brazil,BRA,1981,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,569000
Brazil,BRA,1980,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,545205
Brazil,BRA,1979,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,485000
Brazil,BRA,1978,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,428000
Brazil,BRA,1977,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,370000
Brazil,BRA,1976,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,350000
Brazil,BRA,1975,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,323113
Brazil,BRA,1974,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,236000
Brazil,BRA,1973,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,218500
Brazil,BRA,1972,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,201000
Brazil,BRA,1971,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,183500
Brazil,BRA,1970,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,165870
Brazil,BRA,1969,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,155400
Brazil,BRA,1968,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,145000
Brazil,BRA,1967,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,134500
Brazil,BRA,1966,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,124000
Brazil,BRA,1965,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,114000
Brazil,BRA,1964,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,103000
Brazil,BRA,1963,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,93000
Brazil,BRA,1962,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,82000
Brazil,BRA,1961,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,72000
Brazil,BRA,2016,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,534.957020788408
Brazil,BRA,2015,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,449.600950179619
Brazil,BRA,2014,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,484.618167961299
Brazil,BRA,2013,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,434.529905350507
Brazil,BRA,2012,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,365.295523320895
Brazil,BRA,2011,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,386.814273991527
Brazil,BRA,2010,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,324.868648278904
Brazil,BRA,2009,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,269.266612576327
Brazil,BRA,2008,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,309.008997833499
Brazil,BRA,2007,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,326.585848270781
Brazil,BRA,2006,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,261.737007494086
Brazil,BRA,2005,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,269.937681288949
